Are You a Hosteller?,Restaurant,Is the restaurant available on any online food delivery service like swiggy or zomato?,Do you prefer to go out and eat in this restaurant or order online?,Rating,Please write your favorite dish from this restaurant ,Best cuisines of the restaurant,Approximate Cost for 1 person in this restaurant (according to you),Is the restaurant air conditioned?,How crowded is the restaurant usually?
Yes,TARA MAA (VIT MAIN GATE),NO,Go out,3,"Paneer, garlic nan",North Indian,150,Yes,Highly
Yes,QT-50 (VIT MAIN ROAD),Yes,Go out,4,Pasta,Italian;American,250,Yes,Moderately
No,FLO CAFE (VIT MAIN GATE),Not Sure,Go out,5,Fox ,North Indian;South Indian;Italian;Chinese;American,150,No,Highly
Yes,LIMRA GARDEN RESTAURANT (VIT MAIN GATE),Yes,Go out,5,Paneer Burger,Chinese;American,100,Yes,Moderately
Yes,KFC (VELLORE KATPADI ROAD),Yes,Order Online,5,Zinger Burger,American,250,Yes,Highly
No,LIMRA STUDENT RESTARUANT (VIT GATE-2),Yes,Order Online,4,Italian Pasta ,Italian;Chinese,100,Yes,Moderately
No,DARLING BARBECUE (CHITTOOR ROAD ),Not Sure,Go out,4,Chicken bbq,North Indian,500,Yes,Moderately
Yes,TARA MAA (VIT MAIN GATE),Yes,Go out,4,Garlic naan and chicken curry,North Indian,200,No,Highly
No,THE CHINA VALLEY RESTAURANT (VIT MAIN GATE),Yes,Order Online,4,Honey Chilli Potato,Chinese,150,No,Moderately
No,KFC (VELLORE KATPADI ROAD),Yes,Order Online,5,Zinger Bucket,American,300,Yes,Highly
No,ARASAN SJT CANTEEEN (INSIDE VIT),NO,Go out,4,Dosa,North Indian;South Indian,100,Yes,Moderately
No,Dosart (VIT GATE-3),Yes,Order Online,4,Cheese Dosa,South Indian,150,Yes,Less
No,THE HOTSTONE KITCHEN (VIT GATE-2),NO,Go out,4,Chicken Pizza,Italian;American,250,Yes,Moderately
No,NEW DOMENO (VIT GATE-3),Yes,Order Online,2,,American,120,Yes,Moderately
No,QT-50 (VIT MAIN ROAD),Yes,Order Online,4,Pasta,Italian;American,130,Yes,Moderately
No,HART LOUNGE (VIT MAIN GATE),Yes,Order Online,5,Schwarma,North Indian;American,150,No,Moderately
No,LIMRA STUDENT RESTARUANT (VIT GATE-2),Yes,Go out,4,Double egg chicken roll,North Indian;Chinese,100,No,Moderately
No,LASSI HOUSE (VIT MAIN ROAD),Yes,Go out,5,Banana lassi,North Indian,100,No,Moderately
No,Punjabi Dhaba (VIT MAIN GATE),Yes,Order Online,4,Chole Bhature,North Indian,120,Yes,Moderately
Yes,OH CHEAT DAY (VIT MAIN ROAD),Yes,Order Online,4,Nachoes,North Indian;Italian;American,250,Yes,Moderately
No,THE HOTSTONE KITCHEN (VIT GATE-2),Yes,Go out,5,Chicken keema pizza,Italian;American,250,Yes,Moderately
No,Meat and Eat (VIT GATE-3),Yes,Order Online,3,Chicken Strips,American,200,Yes,Less
Yes,THE HOTSTONE KITCHEN (VIT GATE-2),NO,Go out,4,🍕 pizza,Italian,300,Yes,Highly
